model,model_display,condition,condition_display,topic_id,frac_existing
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t103,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t104,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t105,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t106,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t107,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t108,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t109,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t110,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t111,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t112,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t113,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t114,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t115,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t116,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t117,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t118,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t119,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t120,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t121,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t122,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t123,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t124,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t125,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t126,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t127,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t128,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t129,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t130,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t131,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t132,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t133,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t134,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t135,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t136,0.000000
